CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	LHIST	DISPERSAL	LIGHT	LIGHT_TOLERANCE	NITROGEN	NITROGEN_TOLERANCE	MOISTURE	GRAZ_MOW_TOLERANCE	PALATABILITY
226			60	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	3	1	2.5	2	
229		1	22.75	Herbaceous	Therophyte	1	5	1	1	1	1.5	1	
233			54	Herbaceous	Chamaephyte_H	2	3	2	1.5	1	2.5	2	
234				Herbaceous	Geophyte_Hemicryptophyte		3	2	1	1	1.5	2	
237			50	Herbaceous	Chamaephyte_H		3	2	1	1	2.5	2	
240			110	Frutescent	Chamaephyte_S	2	4	2	2	1	1.5		
241				Herbaceous	Therophyte		4	1	2	1	1	1	
249			53	Herbaceous	Geophyte_Hemicryptophyte	4	3	2	3	1	2.5		
251		6	30	Herbaceous	Chamaephyte_H	2	5	1	1.5	1	2		
252			70	Herbaceous	Therophyte	2	3	2	2	1	1	1	
256			12	Herbaceous	Geophyte_Hemicryptophyte	1	5	1	2	1	2.5	1	
257			30	Herbaceous	Chamaephyte_H	2	5	1	2	1	1.5	1	
258			70	Suffrutescent	Chamaephyte_S	2	4	2	2	1	1.5		
259			35	Herbaceous	Therophyte	7	4	1	3	1	2		
262		10	13.75	Herbaceous	Chamaephyte_H	2	4	1	1.5	1	2	1	
263				Herbaceous	Therophyte		4	1	3	1	1.5		
268				Herbaceous	Geophyte_Hemicryptophyte		5	1	2	1	1.5		
272		2	23.5	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	3	1	3	3	4
273			30	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	2.5	1	4		
284		1	19	Herbaceous	Therophyte	6	4	1	3	1	1.5		
290		6	48.975	Herbaceous	Geophyte_Hemicryptophyte	4	3	1	4	1	3	2	4
291				Herbaceous	Geophyte_Hemicryptophyte		3	2	5	1	4	2	
293			85	Herbaceous	Geophyte_Hemicryptophyte	2	4	2	4	1	3.5	2	
294	1		58	Herbaceous	Geophyte_Hemicryptophyte	1	3	1	4	1	3.5	4	
301			59	Herbaceous	Geophyte_Hemicryptophyte	2	3	2	4.5	1	3		
302	3	5	32	Herbaceous	Geophyte_Hemicryptophyte	4	4	2	3	1	3	3	4
304				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	5	1	
308	1		132.5	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	5	1	3.5	2	
