"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"Blysmus compressus (L.) Panzer ex Link",37.5,6,13,6,15,20.9230769230769,13,"all"
"Bothriochloa ischaemum (L.) Keng",37.5,1,7,1,0.5,9.92857142857143,7,"all"
"Botrychium lunaria (L.) Swartz",0.5,8,8,0,0.5,0.5,8,"all"
"Brachypodium pinnatum (L.) P. Beauv.",37.5,2,2,2,37.5,37.5,2,"all"
"Brachypodium rupestre (Host) Roemer & Schultes",62.5,5,58,30,37.5,24.0431034482759,59,"all"
"Brachypodium sylvaticum (Hudson) P. Beauv. subsp. sylvaticum",37.5,5,13,5,15,16.9615384615385,14,"all"
"Briza media L.",37.5,14,63,14,0.5,9.41269841269841,63,"all"
"Bromus benekenii (Lange) Trimen",37.5,1,1,1,37.5,37.5,1,"all"
"Bromus erectus Hudson",87.5,1,72,46,37.5,30.8333333333333,74,"all"
"Bromus hordeaceus L. subsp. hordeaceus",37.5,1,2,1,19,19,2,"all"
"Bromus squarrosus L.",0.5,1,1,0,0.5,0.5,1,"all"
"Bunium bulbocastanum L.",37.5,6,14,6,0.5,16.3571428571429,14,"all"
"Bupleurum ranunculoides L. subsp. ranunculoides",37.5,1,7,1,0.5,5.78571428571429,7,"all"
"Bupleurum stellatum L.",37.5,2,6,2,0.5,12.8333333333333,6,"all"
"Cacalia alliariae Gouan subsp. alliariae",37.5,6,14,6,15,19.4642857142857,14,"all"
"Cacalia alpina L.",37.5,2,5,2,15,18.2,5,"all"
"Cacalia leucophylla Willd.",15,1,2,0,7.75,7.75,2,"all"
"Calamagrostis epigejos (L.) Roth",0.5,1,1,0,0.5,0.5,1,"all"
"Calamagrostis varia (Schrader) Host subsp. varia",62.5,2,28,18,37.5,28.1428571428571,28,"all"
"Calamagrostis villosa (Chaix) J.F. Gmelin",37.5,2,5,2,15,18.2,5,"all"
"Calamintha grandiflora (L.) Moench",0.5,1,1,0,0.5,0.5,1,"all"
"Calluna vulgaris (L.) Hull",37.5,3,15,3,15,12.7333333333333,16,"all"
"Caltha palustris L.",37.5,11,27,11,0.5,16.1111111111111,27,"all"
"Calystegia sepium (L.) R. Br. subsp. sepium",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Campanula barbata L.",37.5,6,32,6,0.5,8.34375,32,"all"
"Campanula cochleariifolia Lam.",37.5,2,6,2,7.75,15.25,6,"all"
"Campanula glomerata L.",37.5,2,16,2,0.5,5.125,16,"all"
"Campanula glomerata L. subsp. cervicarioides (Schultes) Arcangeli",0.5,2,2,0,0.5,0.5,2,"all"
"Campanula glomerata L. subsp. glomerata",37.5,3,4,3,37.5,28.25,4,"all"
"Campanula latifolia L.",0.5,1,1,0,0.5,0.5,1,"all"
"Campanula patula L.",0.5,2,2,0,0.5,0.5,2,"all"
"Campanula persicifolia L.",0.5,2,2,0,0.5,0.5,2,"all"
"Campanula rhomboidalis L.",37.5,7,44,7,0.5,8.69318181818182,44,"all"
"Campanula rotundifolia L.",37.5,2,44,2,0.5,2.18181818181818,44,"all"
"Campanula scheuchzeri Vill. subsp. scheuchzeri",37.5,7,52,7,0.5,5.48076923076923,52,"all"
"Campanula spicata L.",0.5,2,2,0,0.5,0.5,2,"all"
"Campanula trachelium L.",0.5,2,2,0,0.5,0.5,2,"all"
"Capsella bursa-pastoris (L.) Medik.",15,1,4,0,0.5,4.125,4,"all"
"Cardamine amara L. subsp. amara",37.5,3,3,3,37.5,37.5,3,"all"
"Cardamine bellidifolia L. subsp. alpina (Willd.) B.M.G. Jones",0.5,8,8,0,0.5,0.5,8,"all"
"Cardamine impatiens L., 1753",0.5,2,2,0,0.5,0.5,2,"all"
"Cardamine pentaphyllos (L.) Crantz",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Cardamine resedifolia L.",0.5,18,18,0,0.5,0.5,18,"all"
"Carduus defloratus L. subsp. defloratus",37.5,4,32,4,0.5,5.578125,32,"all"
"Carduus nutans L.",0.5,1,1,0,0.5,0.5,1,"all"
"Carduus nutans L. subsp. nutans",0.5,3,3,0,0.5,0.5,3,"all"
