"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
4548,NA,NA,NA,NA,NA,NA,40,"all"
8503,3,4,174,0,1,1.1264367816092,3356,"all"
15934,1,3,3,0,1,1,120,"all"
10302,NA,NA,NA,NA,NA,NA,39,"all"
11425,3,1,73,0,1,1.15068493150685,964,"all"
9072,4,2,65,0,1,1.33846153846154,1354,"all"
1313,NA,NA,NA,NA,NA,NA,177,"all"
7292,2,3,15,0,1,1.2,635,"all"
7543,1,2,2,0,1,1,71,"all"
9394,2,1,3,0,1,1.33333333333333,38,"all"
1050,NA,NA,NA,NA,NA,NA,179,"all"
3703,5,5,39,0,3,2.66666666666667,265,"all"
4880,5,3,4,0,5,4,30,"all"
6615,5,1,23,0,2,2,479,"all"
13283,2,1,3,0,1,1.33333333333333,137,"all"
11214,1,1,1,0,1,1,12,"all"
7964,NA,NA,NA,NA,NA,NA,5,"all"
149,NA,NA,NA,NA,NA,NA,1,"all"
4252,NA,NA,NA,NA,NA,NA,2,"all"
847,4,3,68,0,1,1.63235294117647,902,"all"
5645,5,48,3291,0,2,1.8483743542996,18781,"all"
771,5,1,47,0,1,1.63829787234043,584,"all"
3365,NA,NA,NA,NA,NA,NA,1,"all"
14390,NA,NA,NA,NA,NA,NA,2,"all"
1574,NA,NA,NA,NA,NA,NA,5,"all"
2469,NA,NA,NA,NA,NA,NA,6,"all"
40183,5,5,1541,0,1,1.54769630110318,11477,"all"
40108,2,2,4,0,1.5,1.5,170,"all"
2866,3,3,81,0,1,1.28395061728395,647,"all"
15678,4,1,80,0,1,1.5,478,"all"
7003,2,3,6,0,1.5,1.5,282,"all"
16916,4,11,1019,0,1,1.56427870461236,4805,"all"
3453,NA,NA,NA,NA,NA,NA,12,"all"
372,3,1,4,0,1.5,1.75,240,"all"
3964,NA,NA,NA,NA,NA,NA,32,"all"
2789,2,2,4,0,1.5,1.5,461,"all"
6595,NA,NA,NA,NA,NA,NA,1,"all"
3265,NA,NA,NA,NA,NA,NA,1,"all"
640,NA,NA,NA,NA,NA,NA,27,"all"
10459,2,17,27,0,2,1.62962962962963,525,"all"
13634,1,3,3,0,1,1,42,"all"
10593,4,2,55,0,1,1.67272727272727,1481,"all"
11786,NA,NA,NA,NA,NA,NA,48,"all"
4007,2,3,6,0,1.5,1.5,131,"all"
1699,3,1,22,0,1,1.40909090909091,471,"all"
10255,NA,NA,NA,NA,NA,NA,5,"all"
13549,4,1,1,0,4,4,24,"all"
3791,NA,NA,NA,NA,NA,NA,3,"all"
933,5,1,61,0,1,1.73770491803279,1349,"all"
40205,NA,NA,NA,NA,NA,NA,50,"all"
14782,2,2,8,0,1,1.25,234,"all"
8848,2,1,8,0,1,1.125,220,"all"
11162,NA,NA,NA,NA,NA,NA,13,"all"
6285,2,1,30,0,1,1.03333333333333,360,"all"
895,4,2,64,0,1,1.40625,468,"all"
2981,NA,NA,NA,NA,NA,NA,32,"all"
897,NA,NA,NA,NA,NA,NA,4,"all"
9946,2,1,18,0,1,1.05555555555556,536,"all"
4043,2,16,30,0,2,1.53333333333333,286,"all"
1523,2,4,26,0,1,1.15384615384615,937,"all"
40523,1,1,1,0,1,1,91,"all"
14566,5,2,453,0,1,1.63134657836645,5778,"all"
9144,NA,NA,NA,NA,NA,NA,8,"all"
3064,NA,NA,NA,NA,NA,NA,4,"all"
5253,2,2,2,0,2,2,11,"all"
14591,3,2,5,0,1,1.8,215,"all"
14653,5,1,7,0,2,2.57142857142857,47,"all"
6158,2,1,1,0,2,2,10,"all"
16959,5,5,1797,0,1,1.60044518642181,7421,"all"
5362,5,1,122,0,1,1.44262295081967,580,"all"
40522,4,1,182,0,1,1.20879120879121,1636,"all"
16553,3,1,16,0,1,1.25,97,"all"
4054,2,1,2,0,1.5,1.5,109,"all"
16643,3,5,29,0,2,1.68965517241379,112,"all"
17076,3,2,2,0,3,3,11,"all"
4395,5,12,1662,0,1,1.34055354993983,13961,"all"
12825,5,2,283,0,1,1.6643109540636,5470,"all"
3772,3,3,34,0,1,1.47058823529412,172,"all"
1719,3,6,91,0,1,1.43956043956044,510,"all"
12629,5,2,766,0,1,1.44516971279373,3974,"all"
6100,4,18,1033,0,1,1.36398838334947,8459,"all"
5029,4,4,122,0,1,1.5327868852459,1811,"all"
14434,1,4,4,0,1,1,167,"all"
16846,2,33,292,0,1,1.11301369863014,2906,"all"
40524,2,1,22,0,1,1.04545454545455,133,"all"
8994,1,1,1,0,1,1,6,"all"
5498,2,4,10,0,1,1.4,87,"all"
1921,1,2,2,0,1,1,8,"all"
3664,NA,NA,NA,NA,NA,NA,1,"all"
1726,NA,NA,NA,NA,NA,NA,7,"all"
16811,1,1,1,0,1,1,13,"all"
3661,2,9,85,0,1,1.10588235294118,1297,"all"
7488,2,1,27,0,1,1.03703703703704,452,"all"
10293,3,1,39,0,1,1.07692307692308,701,"all"
11223,5,7,294,0,1,1.45918367346939,3086,"all"
40435,4,2,209,0,1,1.57416267942584,1584,"all"
10306,4,4,191,0,1,1.20418848167539,1914,"all"
12037,NA,NA,NA,NA,NA,NA,11,"all"
5490,NA,NA,NA,NA,NA,NA,27,"all"
40586,2,4,18,0,1,1.22222222222222,68,"all"
6757,1,6,6,0,1,1,19,"all"
13853,2,1,6,0,1,1.16666666666667,227,"all"
950,3,2,183,0,1,1.09289617486339,3317,"all"
14797,NA,NA,NA,NA,NA,NA,1,"all"
12678,1,1,1,0,1,1,2,"all"
12059,1,1,1,0,1,1,22,"all"
13776,NA,NA,NA,NA,NA,NA,18,"all"
8103,4,6,167,0,1,1.36526946107784,1487,"all"
14785,2,1,13,0,1,1.07692307692308,148,"all"
4050,3,1,118,0,1,1.27966101694915,1469,"all"
40517,2,3,10,0,1,1.3,155,"all"
12283,5,1,102,0,1,1.50980392156863,772,"all"
12662,5,6,365,0,1,1.71506849315068,4227,"all"
40570,2,11,25,0,1,1.44,105,"all"
10497,NA,NA,NA,NA,NA,NA,4,"all"
13982,1,1,1,0,1,1,55,"all"
14203,1,4,4,0,1,1,35,"all"
8108,4,7,557,0,1,1.6588868940754,2826,"all"
10750,3,7,23,0,1,1.78260869565217,524,"all"
40562,5,1,142,0,1,1.7887323943662,916,"all"
13931,NA,NA,NA,NA,NA,NA,35,"all"
13144,3,1,24,0,1,1.5,341,"all"
12256,4,6,96,0,1,1.64583333333333,1613,"all"
10036,NA,NA,NA,NA,NA,NA,3,"all"
3923,4,4,1959,0,1,1.33741704951506,9422,"all"
15173,5,2,22,0,1,2.09090909090909,1748,"all"
4307,5,1,3,0,4,4,119,"all"
40655,5,2,8,0,3,3,374,"all"
10429,4,3,700,0,1,1.27571428571429,6090,"all"
9543,3,4,54,0,1,1.38888888888889,203,"all"
5353,4,2,128,0,1,1.5703125,1381,"all"
3449,4,5,503,0,1,1.38369781312127,3005,"all"
3012,3,5,39,0,1,1.41025641025641,1206,"all"
8543,5,1,153,0,1,1.45751633986928,2635,"all"
11230,NA,NA,NA,NA,NA,NA,20,"all"
12125,1,2,2,0,1,1,31,"all"
