CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	DISPERSAL	LIGHT	LIGHT_TOLERANCE	SOIL	SOIL_TOLERANCE	GRAZ_MOW_TOLERANCE	PALATABILITY
1968		8		Herbaceous		4	1	2	1		
1977				Herbaceous	3						
1978			42.5	Herbaceous	7	3	1	2	1	2	
1989				Herbaceous	3						
2014			45	Herbaceous	3						
2017			25	Herbaceous	3			1			
2034				unknown							
2035	3		15	Herbaceous	3	5	1	2	1	3	2
2039				Herbaceous		5	1	2	1		
2040			30	Herbaceous	3	3	1	2	1	2	
2042			35	Herbaceous	3						
2044			25	Herbaceous	3	5	1	2	1		
2053			20	Herbaceous	3			1			
2060			17.5	Herbaceous	3	4	1	1.5	1		
2066		11	22.5	Herbaceous	3	4	1	1.5	1	2	
2074				unknown							
2075			80	Herbaceous	5			3			
2078			20	Herbaceous	3						
2080				Herbaceous		3	1	3	2	2	
2083			3.5	Herbaceous	5	4	1	2	1	3	
2084				Herbaceous		4	1	2	1	3	
2092			67.5	Herbaceous	3	3	2	2	1		
2105			15	Herbaceous	3	4	1	1.5	1	2	
2117				Herbaceous	3	4	1	2	1	2	
2124				Herbaceous	3						
2126			41	Herbaceous	3						
2144		8	7.5	Herbaceous	5	2	2	3	1	2	2
2169				Herbaceous							
2172				Herbaceous	3						
2179				Herbaceous							
2180			2.5	Herbaceous	4	4	1	2	1	3	
2185				Herbaceous	3						
2194				unknown	3			1			
2195				Herbaceous							
2196			4	Herbaceous	3	3	1	2	1	2	
2197			5	Herbaceous	3	5	1	1.5	1		
2199	1	5	5.4	Herbaceous	6	4	1	2	1	3	2
2204				Herbaceous		4	1	2	1	3	
2209			33	Herbaceous	3	4	1	2	1	2	
2211			8	Herbaceous	3						
2225	3		22.75	Herbaceous	3	2	1	3	1		2
2230				Herbaceous	3						
2238				Herbaceous		4	1	2	1	3	
2243		8		Herbaceous		4	1	2	1		
2244				Herbaceous		3	1	2	1	2	
2253			23	Herbaceous	3	3	1	2	1		
2255				Herbaceous	3						
2256				Herbaceous	3						
2263			7.65	Herbaceous		4	2	2	1	2	
2264			20	Herbaceous	3			1			
2267			70	Suffrutescent	3	3	2	3	1		
2279			7	Herbaceous		4	1	2	1	2	
2280			30	Herbaceous	3			2			
2297			30	Herbaceous	3			1			
2306				Herbaceous		5	1	2	1		
2318		8		Herbaceous		4	1	2	1		
2323				Herbaceous		3	1	2	1	2	
2327		8	25	Herbaceous	3	4	1	1.5	1		
2333			43	Suffrutescent	3	3	1	2	1	2	
2334				Herbaceous	3			2			
2335				Herbaceous	3						
2338			36	Herbaceous	3			2			
2343			15	Herbaceous	3	4	1	2	1	3	
2346				Herbaceous		3	2	2.5	1		
2348				Herbaceous	3						
2349				Herbaceous		4	1	2	1	2	
2350				Herbaceous		3	1	3	2	2	
2372				Herbaceous	3						
2374				Herbaceous	3						
2379			7	Herbaceous							
2393	3	5	3	Herbaceous	3	3	1	2	1	3	1
2398				Herbaceous		5	1	2	1		
2402				Herbaceous		5	1	2	1		
2406			20	Herbaceous	5	4	1	1.5	1	2	
2407	2	5	12	Herbaceous	5	3	1	2.5	1	2	
2410				unknown	7			3			
2412		3	50	Herbaceous		4	1	2	2	3	
2415			17	Herbaceous	7	4	1	2	1	2	
2417			50	Herbaceous	5	3	1	1.5	1		
2418			35	Herbaceous	5	3	1	3	1	2	
