species	name	GROUP	PFG	determinant
15851	Deschampsia_flexuosa	H	H5	TRUE
9276	Epilobium_dodonaei subsp.fleischeri	H	H5	TRUE
15977	Festuca_acuminata	H	H5	TRUE
16062	Festuca_flavescens	H	H5	TRUE
16101	Festuca_laevigata	H	H5	TRUE
16119	Festuca_marginata subsp.gallica	H	H5	TRUE
40272	Festuca_melanopsis	H	H5	TRUE
16193	Festuca_paniculata subsp.paniculata	H	H5	FALSE
16351	Helictotrichon_parlatorei	H	H5	FALSE
4158	Hugueninia_tanacetifolia	H	H5	TRUE
8330	Hypericum_maculatum	H	H5	TRUE
16439	Koeleria_vallesiana	H	H5	TRUE
446	Laserpitium_halleri	H	H5	TRUE
457	Laserpitium_siler	H	H5	TRUE
2500	Leontodon_autumnalis	H	H5	TRUE
2509	Leontodon_hispidus	H	H5	TRUE
14713	Luzula_sieberi	H	H5	TRUE
16645	Phleum_alpinum subsp.rhaeticum	H	H5	TRUE
10590	Pulsatilla_alpina	H	H5	TRUE
10646	Ranunculus_bulbosus	H	H5	TRUE
8742	Salvia_pratensis	H	H5	TRUE
5406	Silene_flos-jovis	H	H5	TRUE
16932	Stipa_eriocaulis subsp.eriocaulis	H	H5	TRUE
3209	Tolpis_staticifolia	H	H5	TRUE
16969	Trisetum_flavescens	H	H5	TRUE
3709	Arabis_alpina	H	H6	FALSE
15600	Avenula_pubescens	H	H6	TRUE
15624	Brachypodium_rupestre	H	H6	TRUE
1080	Cacalia_alliariae	H	H6	TRUE
15744	Calamagrostis_varia	H	H6	TRUE
3941	Cardamine_pentaphyllos	H	H6	TRUE
13933	Carex_flacca	H	H6	TRUE
290	Chaerophyllum_aureum	H	H6	TRUE
302	Chaerophyllum_villarsii	H	H6	TRUE
1455	Cicerbita_alpina	H	H6	TRUE
9271	Epilobium_angustifolium	H	H6	TRUE
15985	Festuca_altissima	H	H6	TRUE
8059	Gentiana_lutea	H	H6	TRUE
2144	Hieracium_murorum	H	H6	TRUE
2225	Hieracium_prenanthoides	H	H6	TRUE
6285	Knautia_dipsacifolia	H	H6	TRUE
449	Laserpitium_latifolium	H	H6	TRUE
14703	Luzula_nivea	H	H6	TRUE
16496	Melica_nutans	H	H6	TRUE
6653	Mercurialis_perennis	H	H6	TRUE
16509	Milium_effusum	H	H6	TRUE
16524	Molinia_caerulea subsp.arundinacea	H	H6	TRUE
9402	Oxalis_acetosella	H	H6	FALSE
16758	Poa_nemoralis	H	H6	TRUE
10626	Ranunculus_aduncus	H	H6	TRUE
12264	Saxifraga_rotundifolia	H	H6	TRUE
2899	Senecio_ovatus subsp.ovatus	H	H6	TRUE
2942	Serratula_tinctoria	H	H6	FALSE
13157	Valeriana_officinalis	H	H6	TRUE
13241	Viola_biflora	H	H6	FALSE
17509	Asplenium_ramosum	H	H7	TRUE
17519	Asplenium_septentrionale subsp.septentrionale	H	H7	TRUE
17525	Asplenium_trichomanes subsp.quadrivalens	H	H7	TRUE
1085	Cacalia_alpina	H	H7	TRUE
17464	Cryptogramma_crispa	H	H7	TRUE
17806	Cystopteris_fragilis	H	H7	TRUE
17641	Equisetum_arvense	H	H7	TRUE
17822	Gymnocarpium_robertianum	H	H7	TRUE
2199	Hieracium_pilosella	H	H7	TRUE
2393	Homogyne_alpina	H	H7	TRUE
2685	Petasites_albus	H	H7	TRUE
3244	Tussilago_farfara	H	H7	TRUE
17838	Woodsia_alpina	H	H7	TRUE
1087	Cacalia_leucophylla	H	H8	TRUE
1544	Cirsium_spinosissimum	H	H8	TRUE
8017	Gentiana_alpina	H	H8	TRUE
4312	Murbeckiella_pinnatifida subsp.pinnatifida	H	H8	TRUE
2648	Omalotheca_supina	H	H8	TRUE
14860	Veratrum_lobelianum	H	H8	FALSE
15466	Anthoxanthum_odoratum subsp.nipponicum	H	H9	TRUE
16538	Nardus_stricta	H	H9	TRUE
16782	Poa_supina	H	H9	TRUE
5512	Silene_vulgaris subsp.prostrata	H	H9	TRUE
40244	Alchemilla_alpigena	H		FALSE
10944	Alchemilla_coriacea	H		FALSE
10992	Alchemilla_lucida	H		FALSE
11035	Alchemilla_xanthochlora	H		FALSE
10451	Anemone_baldensis	H		FALSE
4885	Arenaria_biflora	H		FALSE
913	Artemisia_alba	H		FALSE
930	Artemisia_campestris	H		FALSE
948	Artemisia_genipi	C		FALSE
11760	Asperula_aristata	C		FALSE
13742	Asphodelus_albus	H		FALSE
17512	Asplenium_ruta-muraria subsp.ruta-muraria	H		FALSE
6765	Astragalus_onobrychis	H		FALSE
6777	Astragalus_sempervirens	C		FALSE
17797	Athyrium_distentifolium	H		FALSE
13828	Blysmus_compressus	H		FALSE
40225	Carduus_medius subsp.carlinifolius	H		FALSE
14115	Carex_austroalpina	H		FALSE
13888	Carex_curvula subsp.curvula	H		FALSE
13889	Carex_curvula subsp.rosae	H		FALSE
13892	Carex_davalliana	H		FALSE
14090	Carex_rostrata	H		FALSE
14129	Carex_viridula subsp.brachyrrhyncha	H		FALSE
4007	Coincya_richeri	H		FALSE
13804	Convallaria_majalis	H		FALSE
10525	Delphinium_dubium	H		FALSE
14193	Eleocharis_quinqueflora	H		FALSE
15944	Elytrigia_repens	H		FALSE
9269	Epilobium_alsinifolium	H		FALSE
9273	Epilobium_collinum	H		FALSE
17650	Equisetum_palustre	H		FALSE
17656	Equisetum_variegatum	H		FALSE
16087	Festuca_heterophylla	H		FALSE
16201	Festuca_pratensis subsp.pratensis	H		FALSE
16291	Festuca_violacea subsp.violacea	H		FALSE
8509	Galeopsis_angustifolia	H		FALSE
11856	Galium_megalospermum	H		FALSE
11888	Galium_pseudohelveticum	H		FALSE
6979	Genista_sagittalis	C		FALSE
8193	Geranium_nodosum	H		FALSE
8207	Geranium_robertianum	H		FALSE
7006	Hedysarum_boutignyanum	H		FALSE
5937	Helianthemum_oelandicum	H		FALSE
16359	Helictotrichon_sempervirens	H		FALSE
8366	Herniaria_alpina	C		FALSE
1869	Hieracium_amplexicaule	C		FALSE
438	Imperatoria_ostruthium	H		FALSE
14575	Juncus_arcticus	H		FALSE
14576	Juncus_articulatus	H		FALSE
14607	Juncus_filiformis	H		FALSE
14664	Juncus_triglumis	H		FALSE
12536	Melampyrum_sylvaticum	H		FALSE
12540	Melampyrum_vaudense	H		FALSE
16504	Melica_uniflora	H		FALSE
7489	Oxytropis_helvetica	H		FALSE
9668	Plantago_maritima subsp.serpentina	C		FALSE
40027	Poa_nemoralis var. glaucantha	H		FALSE
10624	Ranunculus_acris subsp.friesianus	H		FALSE
10905	Rhamnus_pumila	C		FALSE
12696	Rhinanthus_alectorolophus	H		FALSE
12734	Rhinanthus_minor	H		FALSE
12037	Salix_breviserrata	C		FALSE
12090	Salix_serpyllifolia	C		FALSE
12166	Saxifraga_cuneifolia subsp.robusta	C		FALSE
12184	Saxifraga_exarata subsp.pseudoexerata	H		FALSE
6146	Sedum_anopetalum	C		FALSE
5582	Stellaria_nemorum subsp.montana	H		FALSE
17408	Taxus_baccata	H		FALSE
13304	Viola_palustris	H		FALSE
17370	Pinus_cembra	P	P1	TRUE
17396	Pinus_sylvestris	P	P1	TRUE
11313	Prunus_avium	P	P1	TRUE
11726	Sorbus_aria	P	P1	TRUE
11729	Sorbus_aucuparia	P	P1	TRUE
11736	Sorbus_mougeotii	P	P1	TRUE
12010	Populus_tremula	P	P2	TRUE
12047	Salix_daphnoides	P	P2	TRUE
17343	Abies_alba	P	P3	TRUE
23	Acer_pseudoplatanus	P	P3	TRUE
9369	Fraxinus_excelsior	P	P3	TRUE
13081	Tilia_platyphyllos	P	P3	TRUE
17356	Larix_decidua	P	P4	TRUE
7895	Fagus_sylvatica	P	P5	TRUE
17363	Picea_abies	P	P5	TRUE
3340	Betula_pendula	P	P6	TRUE
17400	Pinus_uncinata	P	P6	TRUE
6	Acer_campestre subsp.campestre	P	P7	TRUE
19	Acer_opalus	P	P7	TRUE
3325	Betula_alba	P	P8	TRUE
