CODE_CBNA	SPECIES	TYPE	PFG_ALL	PFG_DETERM	maturity	longevity	height	dispersal	dispersal_dist	palatability	light	SEED_MASS	LEAF_AREA	SLA	SLA_avg	LDMC	LDMC_avg	ELLTEMP	ELLMOIST	ELLPH	ELLNIT	ELLLITE	ELLLITE2	REPRO	FOLIAGE	DISP	FLORAISON	FRUIT	INFLO	MOWTOL	NUTR	ROOTDEPTH	WOODY	Chamaephyte	Geophyte	Helophyte	Hemicryptophyte	Hydrohemicryptophyte	Phanerophyte	Therophyte	decidous	evergreen	green.only.from.autumn.to.springtime	partly.wintergreen	pre.summergreen	wintergreen	without.green.leaves..full.parasites.or.saprophytes.	by.seed.and.vegetatively	by.seed.by.spore	mostly.by.seed.and.rarely.vegetatively	mostly.vegetatively.and.rarely.by.seed	vegetatively	bulb	fleshy.basal.leaves	hypocotyl.tuber	inconspicuous.reserve.organ	many.thick.non.lignified.roots	no.special.organ.to.store.energy	rhizome.tuber	rhizome.with.fleshy.organs	root.swelling	root.tuber	thick.lignified.main.roots	thick.rhizome	above.ground.runners	above.ground.shoots	basal.lateral.shoots	below.ground.runners	bulbils	bulbs	creeping.rhizome	creeping.shoots.or.espaliers	cushions	no.vegetative.dispersal.parts	root.shoots	tussocks..tufts
10297	Androsace_vitaliana	C	C3	C3	5	NA	1.73205080756888	1	2.71828182845905	1	8	4.362	0.06	12.5	12.5	NA	NA	NA	NA	NA	NA	8	m	NA	pers	wind	sp	Capsule	umbel	0	Chlorophyllian	NA	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
11135	Dryas_octopetala	C	C3	C3	3	108	2.64575131106459	3	20.0855369231877	0	8	0.666634415545455	1.98460550875	10.26594547	11.357972735	387.1370668	340.8185334	2	4	7.75	3.5	8	i	seed	pers	wind	sp	Achene	solitary	0	Chlorophyllian	2	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
6413	Empetrum_nigrum subsp.hermaphroditum	C	C3	C3	5	NA	3.87298334620742	6	403.428793492735	0	8	NA	0.04587	11.6620666666667	8.85353333333333	NA	NA	3	6	4	2	8	m	NA	pers	animal	sp	Berry	solitary	1	Chlorophyllian	1.5	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
3449	Eritrichium_nanum subsp.nanum	C	C3	C3	3	32	1.4142135623731	3	20.0855369231877	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nopers	wind	su	Achene	raceme	0	Chlorophyllian	1	wood	1	0	0	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
8239	Globularia_cordifolia	C	C3	C3	5	60	2.82842712474619	2	7.38905609893065	0	7	0.594	NA	NA	11.93	NA	250.37	3	4	9	2	9	i	seed	pers	wind	sp	Achene	solitary	0	Chlorophyllian	2.5	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
5185	Gypsophila_repens	C	C3	C3	3	21	2.82842712474619	1	2.71828182845905	1	9	0.737	0.59	15.35	15.35	148.45	148.45	NA	5	9	2	9	i	seed	nopers	wind	sp	Capsule	cyme	1	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
17314	Juniperus_sibirica	C	C3	NA	11	103	6.32455532033676	6	403.428793492735	0	8	NA	NA	NA	NA	NA	NA	2	4	7	2	9	i	seed	pers	animal	sp	Berry	spike	0	Chlorophyllian	2.5	wood	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
4356	Noccaea_rotundifolia	C	C3	C3	3	6	2.44948974278318	1	2.71828182845905	1	8	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nopers	wind	sp	Siliqua	raceme	0	Chlorophyllian	3	herb	1	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
9962	Polygala_chamaebuxus	C	C3	NA	3	33	2	3	20.0855369231877	0	6	8.8	0.815625	23.8815647215385	23.8815647215385	158.214248333333	158.214248333333	4	3	8	2	6	m	seed	pers	wind	sp	Capsule	raceme	1	Chlorophyllian	1	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
10348	Primula_hirsuta	C	C3	C3	5	NA	3	1	2.71828182845905	0	7	0.154666666666667	NA	NA	NA	NA	NA	2	5	3	2	8	m	seed	pers	wind	sp	Capsule	umbel	0	Chlorophyllian	2	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
