code_cbna	libelle
9290	Epilobium palustre L.
9291	Epilobium parviflorum Schreber
9297	Epilobium tetragonum L.
9387	Ligustrum vulgare L.
9655	Plantago lanceolata L.
9663	Plantago major L.
9670	Plantago media L.
9955	Polygala amarella Crantz
9963	Polygala comosa Schkuhr
9981	Polygala serpyllifolia J.A.C. Hose
9982	Polygala vulgaris L.
10042	Polygonum aviculare L.
10113	Rumex acetosa L.
10119	Rumex acetosella L. subsp. acetosella
10147	Rumex crispus L.
10169	Rumex obtusifolius L.
10324	Lysimachia nummularia L.
10328	Lysimachia vulgaris L.
10339	Primula elatior (L.) Hill
10342	Primula farinosa L.
10362	Primula veris L.
10459	Anemone narcissifolia L.
10578	Myosurus minimus L.
10611	Pulsatilla vernalis (L.) Miller
10615	Pulsatilla vulgaris Miller
10620	Ranunculus aconitifolius L.
10622	Ranunculus acris L.
10642	Ranunculus breyninus Crantz
10646	Ranunculus bulbosus L.
10764	Ranunculus repens L.
10889	Frangula alnus Miller
10896	Rhamnus cathartica L.
10912	Agrimonia eupatoria L.
11102	Crataegus monogyna Jacq.
11139	Filipendula ulmaria (L.) Maxim.
11142	Filipendula vulgaris Moench
11154	Fragaria viridis Weston
11163	Geum rivale L.
11225	Potentilla erecta (L.) Rõuschel
11266	Potentilla palustris (L.) Scop.
11277	Potentilla reptans L.
11354	Prunus spinosa L.
11388	Rosa canina L.
11710	Sanguisorba minor Scop.
11718	Sanguisorba officinalis L.
11769	Asperula cynanchica L.
11793	Cruciata laevipes Opiz
11803	Galium aparine L.
11818	Galium boreale L.
11845	Galium glaucum L.
11860	Galium mollugo L.
11875	Galium palustre L.
11889	Galium pumilum Murray
11933	Galium uliginosum L.
11942	Galium verum L.
12030	Salix aurita L.
12043	Salix cinerea L.
12083	Salix repens L.
12117	Thesium linophyllon L.
12120	Thesium pyrenaicum Pourret
12194	Saxifraga granulata L.
12231	Saxifraga mutata L.
12345	Bartsia alpina L.
12511	Linaria vulgaris Miller
12525	Melampyrum cristatum L.
12529	Melampyrum pratense L.
12560	Odontites luteus (L.) Clairv.
12586	Orobanche caryophyllacea Sm.
12629	Orobanche purpurea Jacq.
12651	Orobanche teucrii Holandre
12800	Verbascum lychnitis L.
12814	Verbascum thapsus L.
12833	Veronica arvensis L.
12840	Veronica beccabunga L.
12841	Veronica bellidioides L.
12845	Veronica chamaedrys L.
12851	Veronica filiformis Sm.
12870	Veronica officinalis L.
12879	Veronica prostrata L.
12887	Veronica serpyllifolia L.
13120	Urtica dioica L.
13127	Urtica urens L.
13146	Valeriana dioica L.
13157	Valeriana officinalis L.
13238	Viola arvensis Murray
13250	Viola canina L. subsp. canina
13273	Viola elatior Fries
13276	Viola hirta L.
13304	Viola palustris L.
13312	Viola pumila Chaix
13322	Viola saxatilis F.W. Schmidt
13596	Leucojum vernum L.
13639	Narcissus pseudonarcissus L.
13828	Blysmus compressus (L.) Panzer ex Link
13835	Carex acuta L.
13838	Carex acutiformis Ehrh.
13863	Carex brizoides L.
13872	Carex caryophyllea Latourr.
13892	Carex davalliana Sm.
13899	Carex diandra Schrank
13902	Carex dioica L.
13904	Carex distans L.
13906	Carex disticha Hudson
13916	Carex echinata Murray
13933	Carex flacca Schreber
13938	Carex flava L.
13967	Carex hirta L.
13971	Carex hordeistichos Vill.
13973	Carex hostiana DC.
13976	Carex humilis Leysser
13985	Carex lasiocarpa Ehrh.
14009	Carex montana L.
14024	Carex nigra (L.) Reichard
14048	Carex ovalis Good.
14052	Carex pallescens L.
14054	Carex panicea L.
