CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	LHIST	DISPERSAL	LIGHT	LIGHT_TOLERANCE	NITROGEN	NITROGEN_TOLERANCE	MOISTURE	GRAZ_MOW_TOLERANCE	PALATABILITY
11149			15	Herbaceous	Geophyte_Hemicryptophyte		3	1	4	1	3.5	2	
11151	2	8	10.5	Herbaceous	Geophyte_Hemicryptophyte	7	3	1	3	1	3	2	4
11154		3	7	Herbaceous	Geophyte_Hemicryptophyte	6	3	1	3	2	2	2	
11156				Herbaceous	Geophyte_Hemicryptophyte		3	1	4	1	3	2	
11158			30	Herbaceous	Geophyte_Hemicryptophyte	6	4	2	2	1	2		
11160	4	10	6.5	Herbaceous	Geophyte_Hemicryptophyte	5	4	1	2	1	3	3	4
11162	3	29	4.5	Herbaceous	Geophyte_Hemicryptophyte	5	5	1	1.5	1	3		4
11163	3	5	35	Herbaceous	Geophyte_Hemicryptophyte	6	3	1	3.5	1	4	2	
11164			17	Herbaceous	Geophyte_Hemicryptophyte	6	3	2	3	1	1.5	1	
11166	1		30	Herbaceous	Geophyte_Hemicryptophyte	6	2	2	4	1	3.5	2	
11167				Frutescent	Phanerophyte		2	1	3	1	3		
11174		100	1000	Frutescent	Phanerophyte	6	4	1	3	1	3		
11175				unknown					3				
11176		100	550	Frutescent	Phanerophyte	6	3	1	3	1	3		
11183		100	375	Frutescent	Chamaephyte_S	6	3	1	3	1	2		
